Año,Senadores,Senadoras,Total,%_Senadores,%_Senadoras
2003,101,27,128,78.9,21.1
2004,104,24,128,81.3,18.8
2005,101,27,128,78.9,21.1
2006,106,22,128,82.8,17.2
2007,104,24,128,81.3,18.8
2008,103,25,128,80.5,19.5
2009,102,26,128,79.7,20.3
2010,100,28,128,78.1,21.9
2011,98,30,128,76.6,23.4
2012,85,43,128,66.4,33.6
2013,85,43,128,66.4,33.6
2014,85,43,128,66.4,33.6
2015,84,44,128,65.6,34.4
2016,81,47,128,63.3,36.7
2017,79,49,128,61.7,38.3
2018,65,63,128,50.8,49.2
2019,65,63,128,50.8,49.2
2020,65,63,128,50.8,49.2
