entidad,2006,2011,2016
Nacional,67,62.8,66.1
Aguascalientes,70.5,63.1,73.3
Baja California,61.8,66.2,66.2
Baja California Sur,59.4,55.9,55.4
Campeche,59.5,59.1,53.6
Coahuila de Zaragoza,59.2,58.6,66.3
Colima,74.1,64.8,62
Chiapas,48.5,43.5,52.4
Chihuahua,68.4,68.8,68.8
Ciudad de México,76.8,72.1,79.8
Durango,70,55.8,66.6
Guanajuato,58.8,56.2,63.2
Guerrero,61.6,54,57.5
Hidalgo,58.3,54.8,63.5
Jalisco,78.3,64.5,74.1
México,78,73.4,75.3
Michoacán de Ocampo,63.3,59.6,65.5
Morelos,69.3,63.6,64.9
Nayarit,63.7,67.4,58.1
Nuevo León,63.4,62.4,59.3
Oaxaca,61.2,55.7,63.7
Puebla,69.9,62.8,64.3
Querétaro,66,60.4,71.2
Quintana Roo,66.6,63.6,64.7
San Luis Potosí,60.6,59.6,56.7
Sinaloa,61.8,56.5,59.1
Sonora,68.8,68.1,61.1
Tabasco,66.2,55.7,55.8
Tamaulipas,62.9,57,57.8
Tlaxcala,59.3,61.9,61.2
Veracruz de Ignacio de la Llave,61.9,62,61
Yucatán,60,61.5,66.8
Zacatecas,57.4,57.9,59
